step  , system_total_stopped, system_total_waiting_time, system_mean_waiting_time, system_mean_speed , 1016184376_stopped, 1016184376_accumulated_waiting_time, 1016184376_average_speed, 5237321225_stopped, 5237321225_accumulated_waiting_time, 5237321225_average_speed, GS_cluster_1016191643_1016191860_1016192269_1016198634_stopped, GS_cluster_1016191643_1016191860_1016192269_1016198634_accumulated_waiting_time, GS_cluster_1016191643_1016191860_1016192269_1016198634_average_speed, cluster_1016183180_1016185346_1016193503_1016194749_stopped, cluster_1016183180_1016185346_1016193503_1016194749_accumulated_waiting_time, cluster_1016183180_1016185346_1016193503_1016194749_average_speed, cluster_1016184252_1016191971_stopped, cluster_1016184252_1016191971_accumulated_waiting_time, cluster_1016184252_1016191971_average_speed, cluster_1016184655_1016193545_1016201012_9372174241_stopped, cluster_1016184655_1016193545_1016201012_9372174241_accumulated_waiting_time, cluster_1016184655_1016193545_1016201012_9372174241_average_speed, cluster_1016184997_1016188102_1016195714_5921483463_stopped, cluster_1016184997_1016188102_1016195714_5921483463_accumulated_waiting_time, cluster_1016184997_1016188102_1016195714_5921483463_average_speed, cluster_1016185040_1016195865_9372174234_9372174235_stopped, cluster_1016185040_1016195865_9372174234_9372174235_accumulated_waiting_time, cluster_1016185040_1016195865_9372174234_9372174235_average_speed, cluster_1016185522_1016193644_5237321232_5921362889_#1more_stopped, cluster_1016185522_1016193644_5237321232_5921362889_#1more_accumulated_waiting_time, cluster_1016185522_1016193644_5237321232_5921362889_#1more_average_speed, cluster_1016189230_1016195084_5921362584_9371895544_stopped, cluster_1016189230_1016195084_5921362584_9371895544_accumulated_waiting_time, cluster_1016189230_1016195084_5921362584_9371895544_average_speed, cluster_1016191445_1016199645_stopped, cluster_1016191445_1016199645_accumulated_waiting_time, cluster_1016191445_1016199645_average_speed, cluster_1016191702_1016195035_stopped, cluster_1016191702_1016195035_accumulated_waiting_time, cluster_1016191702_1016195035_average_speed, cluster_1016191801_1016199119_stopped, cluster_1016191801_1016199119_accumulated_waiting_time, cluster_1016191801_1016199119_average_speed, cluster_1016192514_4084049672_5921362888_stopped, cluster_1016192514_4084049672_5921362888_accumulated_waiting_time, cluster_1016192514_4084049672_5921362888_average_speed, agents_total_stopped, agents_total_accumulated_waiting_time
   0.0,                    0,                       0.0,      0.0                ,  0.0              ,                  0,                                 0.0, 1.0                     ,                  0,                                 0.0, 1.0                     ,                                                              0,                                                                             0.0, 1.0                                                                 ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                                  0,                                                                                 0.0, 1.0                                                                     ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                                0,                                                               0.0, 1.0                                                   ,                    0,                                   0.0
  10.0,                    1,                       0.0,      0.0                ,  5.880457298356253,                  0,                                 0.0, 1.0                     ,                  0,                                 0.0, 1.0                     ,                                                              0,                                                                             0.0, 1.0                                                                 ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                                  0,                                                                                 0.0, 1.0                                                                     ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                                0,                                                               0.0, 1.0                                                   ,                    0,                                   0.0
  20.0,                    1,                       0.0,      0.0                ,  8.616753022674823,                  0,                                 0.0, 1.0                     ,                  0,                                 0.0, 1.0                     ,                                                              0,                                                                             0.0, 1.0                                                                 ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                                  0,                                                                                 0.0, 1.0                                                                     ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                                0,                                                               0.0, 1.0                                                   ,                    0,                                   0.0
  30.0,                    1,                       0.0,      0.0                ,  8.960516629141102,                  0,                                 0.0, 1.0                     ,                  0,                                 0.0, 1.0                     ,                                                              0,                                                                             0.0, 1.0                                                                 ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                                  0,                                                                                 0.0, 1.0                                                                     ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                                0,                                                               0.0, 1.0                                                   ,                    0,                                   0.0
  40.0,                    1,                       0.0,      0.0                , 11.302357408921727,                  0,                                 0.0, 1.0                     ,                  0,                                 0.0, 1.0                     ,                                                              0,                                                                             0.0, 1.0                                                                 ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                                  0,                                                                                 0.0, 1.0                                                                     ,                                                           0,                                                                          0.0, 0.9765402106359905                                               ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                                0,                                                               0.0, 1.0                                                   ,                    0,                                   0.0
  50.0,                    1,                       0.0,      0.0                , 11.478876121968135,                  0,                                 0.0, 1.0                     ,                  0,                                 0.0, 1.0                     ,                                                              0,                                                                             0.0, 1.0                                                                 ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                                  0,                                                                                 0.0, 1.0                                                                     ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                                0,                                                               0.0, 1.0                                                   ,                    0,                                   0.0
  60.0,                    1,                       0.0,      0.0                , 12.195784461826292,                  0,                                 0.0, 1.0                     ,                  0,                                 0.0, 1.0                     ,                                                              0,                                                                             0.0, 1.0                                                                 ,                                                           0,                                                                          0.0, 0.4259022903139384                                               ,                                     0,                                                    0.0, 1.0                                        ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                                  0,                                                                                 0.0, 1.0                                                                     ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                                0,                                                               0.0, 1.0                                                   ,                    0,                                   0.0
  70.0,                    2,                       8.0,      0.11428571428571428, 14.09609611182636 ,                  0,                                 0.0, 1.0                     ,                  0,                                 0.0, 0.291695914547618       ,                                                              0,                                                                             0.0, 1.0                                                                 ,                                                           1,                                                                          8.0, 0.39930290798661616                                              ,                                     0,                                                    0.0, 1.0                                        ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                                  0,                                                                                 0.0, 1.0                                                                     ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                                0,                                                               0.0, 1.0                                                   ,                    1,                                   8.0
  80.0,                    4,                      31.0,      0.3924050632911392 , 13.594118840321089,                  0,                                 0.0, 1.0                     ,                  1,                                 8.0, 0.0                     ,                                                              0,                                                                             0.0, 1.0                                                                 ,                                                           2,                                                                         23.0, 3.823775798582261e-06                                            ,                                     0,                                                    0.0, 1.0                                        ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                                  0,                                                                                 0.0, 1.0                                                                     ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                                0,                                                               0.0, 1.0                                                   ,                    3,                                  31.0
  90.0,                    5,                      62.0,      0.6966292134831461 , 13.211236652395753,                  0,                                 0.0, 1.0                     ,                  1,                                18.0, 0.0                     ,                                                              0,                                                                             0.0, 1.0                                                                 ,                                                           2,                                                                         43.0, 0.0                                                              ,                                     0,                                                    0.0, 1.0                                        ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                           0,                                                                          0.0, 1.0                                                              ,                                                                  0,                                                                                 0.0, 1.0                                                                     ,                                                           0,                                                                          0.0, 1.0                                                              ,                                     1,                                                    1.0, 0.004858279532384198                       ,                                     0,                                                    0.0, 1.0                                        ,                                     0,                                                    0.0, 1.0                                        ,                                                0,                                                               0.0, 1.0                                                   ,                    4,                                  62.0
